연번,구분,시설명,주소,설치시설물,등록,데이터기준일자
218,동네체육시설,삼도동 내기마을 동네체육시설,광주광역시 광산구 신동 464번지,동네체육시설,2015-07-21,2021-06-16
219,동네체육시설,삼도 봉학마을 동네체육시설,광주광역시 광산구 송학동 813-5,동네체육시설,2010-05-26,2021-06-16
220,동네체육시설,삼도 가산마을 동네체육시설,광주광역시 광산구 대산동(45-3),동네체육시설,2017-07-14,2021-06-16
221,동네체육시설,삼도 삼안경로당 동네체육시설,광주광역시 광산구 삼거동 119-1,동네체육시설,2017-09-04,2021-06-16
222,동네체육시설,도덕동 542-5번지 동네체육시설,광주광역시 광산구 도덕동 542-5,동네체육시설,2018-01-29,2021-06-16
223,동네체육시설,삼도 도덕동 동네체육시설,광주광역시 광산구 도덕동 311-24,동네체육시설,2010-01-05,2021-06-16
224,동네체육시설,삼도동 농협주변 동네체육시설,광주광역시 광산구 도덕동 302-3,동네체육시설,2016-12-14,2021-06-16
225,동네체육시설,지정경로당 동네체육시설,광주광역시 광산구 지평동 458-2,동네체육시설,2018-01-29,2021-06-16
226,동네체육시설,삼도 가삼경로당 동네체육시설,광주광역시 광산구 지평동 505-1,동네체육시설,2017-09-04,2021-06-16
227,동네체육시설,삼도 죽산마을 동네체육시설,광주광역시 광산구 송산동 231-9번지,동네체육시설,2014-12-09,2021-06-16
228,동네체육시설,삼도 운평마을 동네체육시설,광주광역시 광산구 지평동 220,동네체육시설,2012-05-11,2021-06-16
229,동네체육시설,관두마을 동네체육시설,광주광역시 광산구 복룡동771-18,동네체육시설,2018-05-08,2021-06-16
230,동네체육시설,쌍내경로당 동네체육시설,광주광역시 광산구 내산동 471-1,동네체육시설,2018-05-08,2021-06-16
231,동네체육시설,동호동 모정인근 동네체육시설,광주광역시 광산구 동호동 771-3,동네체육시설,2018-05-08,2021-06-16
232,동네체육시설,분토마을 동네체육시설,광주광역시 광산구 본덕동 316-3,동네체육시설,2018-05-09,2021-06-16
233,동네체육시설,두산경로당 동네체육시설,광주광역시 광산구 동곡로 185번길 211(연산동 14-20),동네체육시설,2018-05-09,2021-06-16
234,동네체육시설,매결마을 동네체육시설,광주광역시 광산구 신창동 1100-14,동네체육시설,2018-05-09,2021-06-16
235,동네체육시설,천동경로당 동네체육시설,광주광역시 광산구 천동길 20(신룡동 550-1),동네체육시설,2018-05-09,2021-06-16
236,동네체육시설,봉산마을 동네체육시설,광주광역시 광산구 산월동 828-2(삼각산 등산로 입구인근),동네체육시설,2018-05-10,2021-06-16
237,동네체육시설,수완부영1차 앞 동네체육시설,광주광역시 광산구 장덕동 1309(부영1차 앞 모정),동네체육시설,2018-04-10,2021-06-16
238,동네체육시설,수완아뜨리움 앞 동네체육시설,광주광역시 광산구 수완동 948(아뜨리움 앞 인도3거리),동네체육시설,2018-04-10,2021-06-16
239,동네체육시설,비아1동경로당 동네체육시설,광주광역시 광산구 비아동 238(비아1통 경로당 건너편),동네체육시설,2018-04-10,2021-06-16
240,동네체육시설,신덕마을경로당 동네체육시설,광주광역시 광산구 평동로 1119번길 25-12,동네체육시설,2019-01-04,2021-06-16
241,동네체육시설,신촌동 942-2 동네체육시설,광주광역시 광산구 광주광역시 광산구 신촌동 942-4,동네체육시설,2010-01-01,2021-06-16
242,동네체육시설,신촌동 942-4번지 동네체육시설,광주광역시 광산구 신촌동 942-4,동네체육시설,2019-01-04,2021-06-16
243,동네체육시설,월곡동 동네체육시설,광주광역시 광산구 월곡동 620(사암로3번길 39),동네체육시설,2019-01-04,2021-06-16
244,동네체육시설,월곡동 동네체육시설,광주광역시 광산구 월곡동 620(사암로3번길 39),동네체육시설,2019-06-07,2021-06-16
245,동네체육시설,하아산경로당 동네체육시설,광주광역시 광산구 비아동 274-1,동네체육시설,2018-12-17,2021-06-16
246,동네체육시설,용봉경로당 동네체육시설,광주광역시 광산구 용봉동 213-1,동네체육시설,2018-12-17,2021-06-16
247,동네체육시설,양촌경로당 동네체육시설,광주광역시 광산구 오운동 567-1,동네체육시설,2018-12-17,2021-06-16
248,동네체육시설,황계경로당 동네체육시설,광주광역시 광산구 본량황계길 173,동네체육시설,2018-12-17,2021-06-16
249,동네체육시설,산막경로당 동네체육시설,광주광역시 광산구 임곡로 231,동네체육시설,2018-12-17,2021-06-16
250,동네체육시설,팽호경로당 동네체육시설,광주광역시 광산구 복룡동 98-37,동네체육시설,2019-06-07,2021-06-16
251,동네체육시설,상선경로당 동네체육시설,광주광역시 광산구 복룡동538-9,동네체육시설,2019-06-07,2021-06-16
252,동네체육시설,송정경로당 동네체육시설,광주광역시 광산구 송대동338-12,동네체육시설,2019-06-07,2021-06-16
253,동네체육시설,옥동 마을전각 동네체육시설,광주광역시 광산구 옥동 410-7,동네체육시설,2019-06-07,2021-06-16
254,동네체육시설,본촌경로당 동네체육시설,광주광역시 광산구 임곡본촌길 217,동네체육시설,2019-06-07,2021-06-16
255,동네체육시설,창암경로당 동네체육시설,광주광역시 광산구 창암길 105(고룡동 566),동네체육시설,2019-06-07,2021-06-16
256,동네체육시설,대촌경로당 동네체육시설,광주광역시 광산구 송대동332-10,동네체육시설,2019-06-07,2021-06-16
257,동네체육시설,탑동경로당 동네체육시설,광주광역시 광산구 탑동길 75 (지산동 403-4),동네체육시설,2019-06-07,2021-06-16
258,동네체육시설,동부경로당 동네체육시설,광주광역시 광산구 본량용강길28-21(산수동 477),동네체육시설,2019-06-07,2021-06-16
259,동네체육시설,양산동 모정 앞 동네체육시설,광주광역시 광산구 본동로 503(양산동 84-15),동네체육시설,2019-06-07,2021-06-16
260,동네체육시설,예림경로당 동네체육시설,광주광역시 광산구 본량예림길26-12(명도동 209-5),동네체육시설,2019-06-07,2021-06-16
